Age,Gender,Education_Level,Current_Field,Mathematical_Skills,Communication_Skills,Coding_Knowledge,Creativity_Level,Analytical_Thinking,Leadership_Skills,Problem_Solving_Skills,Research_Writing_Skills,Technical_Experience,Interest_Area,Work_Preference,Work_Environment,Self_Employment_Interest,Entrepreneurial_Mindset,Internship_Experience,Freelance_Experience,Job_Experience_Years,Certifications_Completed,Extracurricular_Activities,Risk_Taking_Ability,Teamwork_Individual_Pref,Stress_Handling_Ability,Adaptability_to_New_Tech,Best_Suited_Profession
44,Male,Bachelor's,Arts,4,3,No,9,9,7,1,5,10,Sports,On-Site,Government,No,1,0,Yes,10,7,No,7,Individual,4,2,Artist
19,Other,Master’s,Business,5,6,Yes,2,7,5,6,7,2,Science,On-Site,Freelance,Yes,10,2,No,15,0,Yes,5,Balanced,7,4,Research Scientist
48,Female,Diploma,Engineering,5,7,No,4,1,1,8,7,4,Sports,Hybrid,Freelance,Yes,5,4,No,20,5,Yes,8,Balanced,6,7,Research Scientist
47,Female,High School,Medicine,7,3,Yes,10,10,1,7,10,2,Technology,Remote,Startup,No,5,3,Yes,1,4,No,4,Balanced,7,8,Software Engineer
26,Other,Bachelor's,Sports,4,3,No,6,5,7,6,5,2,Sports,On-Site,Research Lab,No,10,4,Yes,4,0,No,3,Teamwork,3,10,Digital Marketer
34,Other,Diploma,Science,5,3,Yes,6,5,10,7,3,9,Sports,Remote,Startup,No,10,1,Yes,11,6,No,6,Balanced,7,7,Digital Marketer
28,Other,High School,Arts,4,3,Yes,5,9,1,2,5,9,Business,Hybrid,Corporate,No,9,2,Yes,20,7,Yes,2,Balanced,10,8,Software Engineer
49,Male,Master’s,Business,4,3,Yes,2,1,2,6,4,5,Sports,Hybrid,Startup,Yes,3,5,No,3,9,No,4,Teamwork,3,7,Entrepreneur
27,Other,PhD,Business,8,7,Yes,8,1,4,9,6,3,Engineering,On-Site,Corporate,Yes,3,1,Yes,14,8,No,4,Balanced,6,2,Artist
39,Male,High School,Science,5,5,Yes,1,10,5,4,1,9,Engineering,Hybrid,Corporate,No,9,2,No,12,5,No,6,Individual,6,1,Mechanical Engineer
42,Female,High School,Science,9,4,Yes,1,7,1,2,1,7,Sports,Remote,Freelance,Yes,4,2,No,16,4,Yes,8,Individual,3,4,Mechanical Engineer
34,Male,High School,Engineering,5,6,No,1,7,1,9,8,4,Medicine,On-Site,Freelance,Yes,6,5,No,2,7,Yes,3,Teamwork,2,2,Mechanical Engineer
21,Other,PhD,Arts,8,8,No,9,8,3,8,6,3,Social Work,On-Site,Corporate,Yes,10,1,No,17,9,Yes,5,Teamwork,5,10,Research Scientist
33,Male,Bachelor's,Arts,3,2,Yes,5,4,1,8,9,8,Social Work,Hybrid,Government,No,5,5,No,14,0,Yes,3,Individual,2,9,Artist
37,Other,PhD,Science,7,3,Yes,2,7,3,7,10,6,Science,Remote,Startup,Yes,2,1,Yes,16,5,Yes,2,Teamwork,4,6,Software Engineer
32,Male,High School,Sports,1,2,No,1,6,5,8,1,4,Arts,Hybrid,Research Lab,No,9,4,Yes,10,4,Yes,10,Balanced,8,8,Mechanical Engineer
42,Female,Master’s,Medicine,5,7,Yes,4,1,3,3,7,9,Sports,Remote,Government,No,10,0,No,17,6,No,4,Balanced,5,5,Entrepreneur
44,Male,High School,Arts,2,2,No,2,2,10,6,1,1,Business,Remote,Startup,Yes,9,4,No,18,0,No,2,Balanced,5,10,Data Scientist
38,Female,Master’s,Business,8,5,No,3,8,8,7,7,5,Science,On-Site,Corporate,No,2,2,No,16,10,No,3,Individual,9,6,Lawyer
22,Other,Diploma,Sports,6,10,Yes,2,6,5,5,7,3,Arts,Hybrid,Government,No,9,1,Yes,6,9,No,10,Individual,10,7,Research Scientist
23,Female,Master’s,Science,5,9,Yes,8,7,5,2,8,2,Technology,Hybrid,Government,No,9,4,Yes,15,1,No,7,Balanced,10,3,Lawyer
34,Other,High School,Arts,3,8,Yes,3,8,6,10,5,5,Sports,On-Site,Government,No,8,3,No,1,0,No,8,Individual,9,10,Artist
18,Other,PhD,Engineering,1,8,Yes,2,5,4,7,8,3,Medicine,Hybrid,Freelance,Yes,7,4,Yes,19,5,No,9,Individual,9,5,Lawyer
48,Female,High School,Science,10,3,No,6,5,5,2,10,7,Business,Remote,Freelance,No,5,3,No,12,4,Yes,8,Teamwork,3,10,Entrepreneur
42,Female,High School,Business,10,1,No,7,2,6,9,5,1,Business,Remote,Government,No,5,0,No,20,1,No,8,Individual,9,6,Doctor
36,Male,Diploma,Engineering,10,2,Yes,9,4,6,9,9,5,Social Work,Hybrid,Freelance,Yes,9,4,Yes,14,0,Yes,2,Balanced,2,6,Lawyer
21,Male,Bachelor's,Science,10,7,Yes,10,2,5,10,8,7,Medicine,On-Site,Research Lab,No,9,3,No,9,10,No,3,Individual,10,4,Data Scientist
34,Female,High School,Science,8,4,No,4,7,10,6,7,6,Science,Remote,Freelance,No,4,3,Yes,3,8,Yes,9,Balanced,10,3,Doctor
26,Female,Diploma,Arts,5,10,Yes,5,9,6,4,7,2,Medicine,Hybrid,Freelance,Yes,8,5,Yes,10,7,No,4,Individual,8,4,Artist
48,Female,PhD,Engineering,9,5,No,6,2,9,10,3,5,Medicine,Hybrid,Corporate,Yes,10,1,Yes,8,0,Yes,9,Balanced,8,9,Business Analyst
41,Female,Diploma,Science,7,1,Yes,3,4,8,4,6,3,Social Work,Remote,Research Lab,No,9,3,No,4,6,Yes,3,Individual,4,5,Software Engineer
19,Other,Diploma,Sports,1,2,No,3,8,4,5,6,2,Business,Remote,Corporate,No,3,0,No,3,8,Yes,6,Individual,5,6,Doctor
25,Female,Master’s,Business,1,9,No,3,9,2,7,5,8,Science,Hybrid,Freelance,Yes,1,0,Yes,12,2,Yes,7,Individual,7,2,Entrepreneur
32,Female,Bachelor's,Engineering,7,6,No,5,4,4,8,2,2,Medicine,Remote,Startup,Yes,1,3,No,11,8,No,3,Individual,2,6,Artist
49,Female,Bachelor's,Sports,7,7,No,6,8,6,10,10,4,Engineering,On-Site,Government,Yes,8,4,Yes,11,0,No,10,Balanced,4,3,Data Scientist
24,Female,PhD,Arts,9,5,Yes,9,7,10,8,7,8,Engineering,Remote,Corporate,No,8,4,Yes,9,8,No,5,Balanced,2,5,Entrepreneur
44,Other,Diploma,Medicine,2,9,Yes,9,5,7,7,5,10,Science,On-Site,Government,No,9,4,No,11,1,No,3,Balanced,5,8,Software Engineer
23,Male,PhD,Science,7,10,No,5,4,4,6,2,9,Technology,On-Site,Research Lab,No,1,5,No,4,4,Yes,7,Teamwork,10,4,Business Analyst
18,Male,PhD,Medicine,2,5,No,8,6,3,2,4,6,Sports,Remote,Freelance,No,3,5,Yes,14,10,Yes,9,Teamwork,10,9,Lawyer
32,Male,Bachelor's,Science,10,6,No,7,6,1,8,1,5,Engineering,On-Site,Freelance,Yes,10,2,Yes,2,5,Yes,6,Individual,9,10,Entrepreneur
40,Male,Bachelor's,Sports,10,10,Yes,4,2,7,4,8,4,Business,Hybrid,Freelance,No,8,2,Yes,19,9,Yes,8,Individual,7,7,Artist
43,Male,Bachelor's,Arts,2,9,Yes,1,3,1,8,5,1,Business,Hybrid,Research Lab,Yes,4,5,No,14,4,No,10,Individual,10,2,Entrepreneur
24,Other,High School,Arts,5,5,Yes,3,6,8,5,8,10,Technology,Hybrid,Corporate,No,9,3,Yes,19,5,No,2,Teamwork,2,10,Artist
46,Male,Diploma,Arts,9,4,Yes,10,4,5,3,1,5,Medicine,Hybrid,Government,No,9,0,Yes,15,10,Yes,7,Individual,10,5,Business Analyst
47,Other,PhD,Arts,9,5,Yes,5,3,8,6,8,4,Technology,Hybrid,Corporate,No,7,5,No,19,4,Yes,5,Balanced,2,2,Doctor
42,Other,Diploma,Engineering,10,5,No,10,4,2,2,5,6,Technology,Remote,Government,Yes,2,0,No,9,6,No,4,Balanced,6,7,Digital Marketer
34,Male,PhD,Engineering,1,5,Yes,3,6,3,6,7,6,Business,Hybrid,Government,Yes,10,3,No,16,0,No,4,Teamwork,5,7,Research Scientist
19,Male,PhD,Science,7,1,Yes,4,3,4,6,3,7,Social Work,Remote,Freelance,No,8,1,No,19,7,No,4,Balanced,2,5,Software Engineer
44,Male,PhD,Engineering,10,5,Yes,9,1,2,1,3,4,Arts,Hybrid,Startup,No,7,0,Yes,17,1,No,6,Individual,6,4,Lawyer
26,Female,PhD,Science,10,5,Yes,9,6,4,10,9,1,Business,Hybrid,Freelance,Yes,7,5,Yes,16,4,No,6,Balanced,3,8,Digital Marketer
46,Other,Master’s,Engineering,3,1,No,9,2,6,5,7,3,Social Work,On-Site,Government,Yes,9,5,No,5,6,No,10,Teamwork,5,3,Business Analyst
26,Male,Master’s,Engineering,10,4,No,9,9,7,5,6,9,Technology,On-Site,Research Lab,No,4,3,No,19,1,Yes,8,Individual,7,2,Research Scientist
30,Female,High School,Engineering,10,8,No,1,6,6,8,4,5,Business,Hybrid,Research Lab,Yes,10,5,No,3,2,Yes,9,Teamwork,2,2,Software Engineer
23,Other,Bachelor's,Business,1,4,Yes,9,1,7,7,5,3,Arts,On-Site,Freelance,Yes,8,0,Yes,5,0,No,4,Balanced,9,6,Software Engineer
23,Female,PhD,Arts,2,7,No,2,4,2,9,8,8,Technology,On-Site,Corporate,No,10,5,No,2,5,Yes,6,Individual,6,2,Doctor
37,Female,Diploma,Business,6,6,No,8,5,1,10,1,1,Sports,Remote,Government,Yes,9,2,Yes,3,2,No,7,Individual,9,2,Digital Marketer
37,Male,Master’s,Engineering,10,5,Yes,9,8,9,3,2,4,Business,Hybrid,Research Lab,Yes,5,5,Yes,15,7,No,9,Individual,1,4,Data Scientist
38,Other,Bachelor's,Engineering,2,9,No,8,3,7,1,3,3,Medicine,Remote,Government,No,10,3,No,18,8,Yes,4,Individual,4,7,Software Engineer
20,Female,High School,Business,2,8,Yes,9,9,2,7,5,2,Technology,On-Site,Startup,No,1,5,No,16,6,No,6,Balanced,8,5,Doctor
34,Other,Bachelor's,Sports,4,5,No,5,9,7,9,8,2,Sports,On-Site,Freelance,No,3,1,No,18,6,Yes,10,Individual,5,2,Business Analyst
48,Male,PhD,Science,3,10,Yes,10,10,4,10,5,5,Arts,Remote,Freelance,No,4,3,No,16,4,No,10,Balanced,1,7,Entrepreneur
34,Other,Bachelor's,Arts,8,7,No,7,5,3,10,5,7,Business,Remote,Research Lab,Yes,4,4,Yes,17,7,Yes,8,Teamwork,9,9,Mechanical Engineer
29,Female,PhD,Science,8,9,No,3,4,4,7,6,9,Technology,On-Site,Government,Yes,5,1,Yes,3,8,No,8,Individual,7,2,Software Engineer
33,Female,Master’s,Sports,6,7,Yes,4,7,5,10,9,5,Business,On-Site,Freelance,Yes,3,1,No,15,3,No,8,Teamwork,10,1,Mechanical Engineer
32,Other,Master’s,Arts,4,3,No,4,9,9,7,9,2,Engineering,Hybrid,Corporate,Yes,3,5,Yes,16,10,No,10,Balanced,6,6,Data Scientist
30,Female,PhD,Medicine,7,10,Yes,10,6,4,10,9,4,Science,On-Site,Startup,No,2,0,Yes,8,5,Yes,10,Teamwork,2,6,Software Engineer
40,Female,Diploma,Arts,9,5,No,4,7,9,6,5,4,Social Work,Remote,Research Lab,Yes,9,1,No,9,1,Yes,5,Individual,7,8,Business Analyst
49,Female,Master’s,Science,2,9,Yes,8,1,4,5,6,6,Engineering,Remote,Research Lab,No,3,0,No,4,1,No,10,Individual,9,5,Entrepreneur
18,Male,Diploma,Arts,6,9,No,2,4,1,5,7,2,Technology,Remote,Research Lab,No,2,3,Yes,0,6,No,10,Individual,7,2,Artist
34,Male,PhD,Medicine,7,8,No,2,2,1,8,3,3,Social Work,Remote,Startup,Yes,4,2,Yes,7,6,Yes,7,Teamwork,7,4,Business Analyst
20,Female,PhD,Medicine,1,6,No,5,1,4,9,1,6,Technology,On-Site,Startup,No,8,5,No,18,0,No,7,Balanced,6,7,Mechanical Engineer
43,Other,Master’s,Engineering,6,7,Yes,6,7,4,4,2,4,Science,Remote,Corporate,Yes,7,4,Yes,9,5,Yes,9,Balanced,10,7,Research Scientist
32,Male,Diploma,Medicine,8,7,Yes,4,10,10,10,4,6,Sports,On-Site,Freelance,Yes,1,1,Yes,0,8,Yes,5,Individual,3,6,Artist
21,Other,PhD,Business,7,1,Yes,7,4,7,1,9,6,Business,On-Site,Corporate,Yes,7,2,No,15,2,Yes,2,Individual,8,7,Lawyer
49,Female,Master’s,Science,2,8,No,10,2,1,5,1,3,Medicine,Hybrid,Freelance,No,2,2,No,0,4,Yes,3,Balanced,3,10,Artist
49,Female,PhD,Business,2,6,Yes,4,5,5,4,6,7,Medicine,Hybrid,Government,No,8,0,No,15,0,Yes,6,Individual,3,10,Business Analyst
49,Other,Bachelor's,Sports,4,7,Yes,8,7,10,4,4,4,Social Work,Remote,Startup,No,9,0,No,13,10,No,6,Individual,5,7,Doctor
21,Male,Bachelor's,Business,5,10,No,2,2,8,1,6,7,Medicine,Hybrid,Freelance,Yes,3,4,No,5,4,No,10,Balanced,7,5,Software Engineer
35,Other,Master’s,Science,5,10,Yes,10,7,8,3,2,9,Engineering,Hybrid,Freelance,No,10,3,Yes,12,6,Yes,10,Teamwork,7,3,Lawyer
34,Other,PhD,Sports,2,2,Yes,4,3,7,3,2,3,Science,On-Site,Research Lab,Yes,1,5,Yes,18,1,No,4,Individual,2,6,Artist
36,Female,Master’s,Business,7,7,Yes,7,8,4,8,7,9,Social Work,On-Site,Freelance,Yes,7,0,Yes,0,2,Yes,6,Balanced,5,5,Research Scientist
28,Male,High School,Business,8,8,No,5,7,7,6,5,2,Engineering,Hybrid,Freelance,No,3,3,Yes,4,5,No,9,Individual,1,1,Business Analyst
37,Other,Master’s,Sports,2,5,Yes,10,1,1,6,6,5,Arts,Hybrid,Startup,Yes,7,3,No,9,6,No,8,Balanced,9,3,Mechanical Engineer
20,Male,Master’s,Business,4,1,Yes,2,9,6,6,4,4,Technology,Hybrid,Government,No,10,5,No,2,6,Yes,1,Balanced,7,7,Research Scientist
25,Female,Bachelor's,Medicine,3,6,Yes,3,6,7,8,1,10,Engineering,Hybrid,Corporate,No,8,5,Yes,0,3,No,7,Individual,8,10,Software Engineer
31,Male,Bachelor's,Science,4,3,No,4,4,3,5,8,7,Arts,Hybrid,Research Lab,Yes,6,2,No,5,1,No,9,Teamwork,4,4,Artist
43,Female,PhD,Science,5,5,Yes,5,6,8,3,1,7,Sports,Hybrid,Government,Yes,2,1,No,18,4,No,2,Balanced,9,3,Research Scientist
18,Male,Master’s,Science,6,9,No,7,2,8,1,8,3,Engineering,Remote,Startup,Yes,2,2,Yes,12,5,Yes,10,Balanced,9,9,Software Engineer
31,Other,Master’s,Business,2,7,Yes,3,2,8,8,1,4,Technology,Hybrid,Freelance,No,10,4,Yes,17,7,Yes,2,Balanced,7,2,Lawyer
19,Female,PhD,Medicine,10,8,No,9,8,5,10,10,7,Engineering,On-Site,Corporate,No,9,5,No,20,10,No,7,Individual,5,4,Artist
46,Other,Diploma,Science,6,6,Yes,10,10,7,4,10,3,Social Work,On-Site,Startup,No,1,5,Yes,3,6,Yes,1,Individual,3,9,Lawyer
40,Female,PhD,Arts,9,9,Yes,3,5,5,3,4,1,Engineering,Remote,Freelance,Yes,9,1,Yes,0,1,No,10,Balanced,8,5,Research Scientist
21,Male,Bachelor's,Science,8,3,No,5,7,8,8,6,2,Sports,Hybrid,Corporate,Yes,9,5,No,19,6,No,10,Teamwork,7,6,Lawyer
41,Male,Bachelor's,Engineering,1,1,No,5,1,9,10,1,5,Arts,Remote,Government,No,4,2,Yes,10,6,Yes,5,Teamwork,8,5,Artist
44,Female,Master’s,Arts,9,10,Yes,7,6,4,7,9,5,Arts,Remote,Freelance,Yes,7,4,Yes,0,4,Yes,4,Individual,9,5,Research Scientist
46,Female,Bachelor's,Science,10,4,Yes,6,10,4,8,7,8,Social Work,Hybrid,Government,Yes,5,5,Yes,18,4,No,1,Individual,6,6,Artist
36,Female,PhD,Business,2,8,Yes,3,7,7,2,1,3,Science,On-Site,Freelance,No,3,5,Yes,20,1,Yes,2,Teamwork,1,6,Digital Marketer
23,Male,Master’s,Science,1,6,Yes,1,10,7,8,10,9,Science,Remote,Startup,Yes,1,1,Yes,7,5,Yes,8,Teamwork,9,1,Doctor
42,Female,PhD,Medicine,6,7,Yes,6,7,8,4,2,5,Arts,Remote,Government,Yes,9,5,Yes,9,0,No,3,Balanced,3,9,Mechanical Engineer
18,Female,PhD,Medicine,1,9,Yes,6,10,7,2,5,10,Technology,Remote,Government,Yes,1,5,No,15,6,Yes,8,Balanced,9,7,Data Scientist
34,Other,Master’s,Science,6,2,No,4,3,7,4,3,3,Sports,Remote,Government,No,10,3,No,15,9,Yes,6,Teamwork,8,9,Mechanical Engineer
25,Female,Diploma,Business,2,7,No,2,9,6,8,1,8,Business,Remote,Freelance,No,10,4,No,12,4,No,5,Balanced,10,3,Digital Marketer
36,Other,Bachelor's,Business,7,4,No,9,9,6,6,5,2,Arts,On-Site,Corporate,No,5,3,No,6,7,Yes,5,Balanced,8,10,Entrepreneur
38,Other,High School,Business,7,7,No,6,5,10,3,8,8,Science,Hybrid,Startup,Yes,5,1,No,17,9,Yes,3,Teamwork,3,3,Artist
18,Other,High School,Science,4,8,Yes,1,9,3,7,1,9,Sports,On-Site,Freelance,Yes,4,4,Yes,15,3,Yes,6,Balanced,7,4,Doctor
22,Male,High School,Science,2,2,No,8,7,4,6,6,8,Technology,On-Site,Freelance,No,7,5,Yes,8,4,Yes,6,Teamwork,2,2,Business Analyst
44,Other,Bachelor's,Engineering,7,7,No,10,7,10,5,1,10,Business,Hybrid,Startup,Yes,4,4,No,13,3,No,8,Individual,10,2,Lawyer
33,Female,Diploma,Medicine,1,8,No,7,9,4,6,8,1,Arts,Remote,Corporate,Yes,2,5,No,9,8,No,4,Balanced,5,3,Data Scientist
23,Male,PhD,Arts,2,1,No,6,2,9,3,5,9,Social Work,Hybrid,Corporate,Yes,6,2,Yes,17,9,Yes,3,Teamwork,8,6,Software Engineer
25,Male,Master’s,Arts,2,10,Yes,1,10,6,5,3,1,Engineering,Remote,Startup,Yes,10,3,No,17,2,Yes,10,Teamwork,9,6,Research Scientist
30,Male,Diploma,Medicine,1,5,No,10,5,10,3,8,9,Engineering,Hybrid,Government,No,4,3,No,7,0,Yes,6,Teamwork,2,8,Software Engineer
33,Male,High School,Sports,9,9,No,5,8,3,2,10,10,Science,On-Site,Corporate,No,8,4,No,16,4,No,9,Individual,6,2,Business Analyst
49,Male,Bachelor's,Engineering,6,2,Yes,4,8,4,2,8,2,Medicine,Hybrid,Corporate,No,3,4,No,4,10,No,3,Balanced,3,2,Entrepreneur
47,Male,Bachelor's,Medicine,3,6,Yes,7,3,6,2,3,8,Technology,On-Site,Startup,No,2,0,Yes,20,4,No,8,Balanced,5,9,Research Scientist
20,Male,Master’s,Engineering,6,2,No,2,5,6,10,7,9,Business,Hybrid,Freelance,Yes,3,2,No,2,10,No,3,Teamwork,7,9,Entrepreneur
36,Other,PhD,Sports,7,3,No,1,4,5,4,1,6,Science,Hybrid,Government,No,8,3,Yes,15,8,No,5,Individual,6,5,Research Scientist
29,Female,Diploma,Engineering,3,6,No,7,4,1,2,3,6,Medicine,Remote,Freelance,Yes,3,3,No,16,0,No,4,Individual,5,4,Business Analyst
33,Female,Diploma,Business,4,5,Yes,8,2,10,4,7,3,Arts,Hybrid,Corporate,No,9,4,No,2,10,Yes,6,Balanced,5,5,Digital Marketer
44,Other,Diploma,Medicine,10,4,No,5,6,6,9,3,10,Technology,Remote,Corporate,No,4,3,Yes,3,8,No,7,Teamwork,8,7,Doctor
28,Other,PhD,Arts,1,7,Yes,8,1,4,3,7,9,Business,On-Site,Research Lab,Yes,8,5,Yes,19,4,Yes,3,Balanced,4,4,Artist
27,Male,PhD,Science,6,3,Yes,4,8,8,5,3,8,Science,Remote,Freelance,Yes,5,1,No,15,1,Yes,8,Teamwork,9,3,Data Scientist
42,Male,PhD,Sports,6,10,No,8,10,10,2,3,2,Sports,Remote,Startup,No,10,4,No,13,9,No,4,Balanced,5,9,Software Engineer
37,Other,Master’s,Sports,9,7,No,3,9,1,7,2,5,Engineering,Remote,Freelance,No,7,3,Yes,0,10,Yes,7,Balanced,6,7,Business Analyst
48,Male,Bachelor's,Science,2,9,Yes,7,5,5,10,5,7,Social Work,Hybrid,Startup,No,7,5,Yes,5,0,Yes,8,Balanced,2,9,Digital Marketer
21,Female,High School,Medicine,5,2,Yes,6,6,4,5,1,1,Arts,Hybrid,Corporate,No,7,1,Yes,8,5,Yes,2,Teamwork,3,2,Doctor
29,Female,PhD,Science,5,5,Yes,1,1,5,7,4,8,Science,On-Site,Corporate,Yes,7,4,No,4,0,No,9,Balanced,3,10,Digital Marketer
40,Male,Bachelor's,Engineering,7,1,Yes,5,6,9,3,4,3,Sports,On-Site,Government,No,8,5,Yes,19,2,No,9,Teamwork,2,6,Lawyer
19,Male,PhD,Science,5,7,Yes,4,1,7,6,10,10,Medicine,On-Site,Freelance,Yes,6,0,Yes,11,8,No,10,Balanced,5,6,Business Analyst
41,Male,High School,Engineering,10,2,Yes,6,5,3,3,3,2,Engineering,On-Site,Corporate,No,10,3,Yes,14,5,Yes,2,Teamwork,9,8,Mechanical Engineer
39,Female,PhD,Engineering,4,5,No,9,9,3,1,5,7,Arts,On-Site,Government,Yes,2,2,No,17,9,No,8,Balanced,2,3,Lawyer
36,Male,Bachelor's,Arts,10,1,No,4,5,7,8,4,5,Science,On-Site,Corporate,Yes,4,1,No,7,9,Yes,4,Balanced,3,6,Business Analyst
42,Other,Master’s,Science,2,1,No,2,3,1,9,8,8,Technology,Hybrid,Government,No,3,4,No,0,5,Yes,10,Balanced,9,1,Entrepreneur
22,Male,High School,Arts,8,4,No,8,4,8,5,8,1,Technology,Hybrid,Freelance,No,2,3,Yes,20,1,Yes,6,Individual,5,7,Digital Marketer
25,Other,Bachelor's,Science,5,7,Yes,1,3,3,1,10,9,Business,Hybrid,Startup,No,8,5,No,19,8,Yes,10,Teamwork,7,6,Lawyer
24,Male,Diploma,Engineering,4,7,Yes,6,4,8,2,1,6,Social Work,Hybrid,Government,No,5,3,Yes,0,3,Yes,9,Individual,8,1,Business Analyst
31,Male,Diploma,Science,9,8,No,4,10,8,8,8,8,Technology,On-Site,Corporate,Yes,7,3,Yes,3,8,Yes,9,Individual,3,7,Research Scientist
41,Female,Diploma,Sports,2,9,No,6,6,2,7,9,6,Technology,Remote,Research Lab,Yes,5,0,Yes,8,3,No,6,Teamwork,6,5,Business Analyst
40,Other,Master’s,Sports,3,4,No,3,3,3,4,4,7,Business,Hybrid,Research Lab,Yes,8,5,Yes,20,10,Yes,8,Individual,3,1,Lawyer
20,Other,PhD,Arts,8,2,No,9,5,10,3,8,8,Sports,Hybrid,Freelance,No,1,3,No,14,3,No,6,Teamwork,1,8,Doctor
35,Other,PhD,Business,4,10,No,3,7,1,4,9,9,Arts,On-Site,Startup,No,7,2,Yes,13,5,Yes,6,Balanced,4,2,Doctor
33,Female,PhD,Sports,9,10,Yes,3,1,6,5,2,4,Sports,On-Site,Research Lab,Yes,1,2,No,15,10,Yes,4,Individual,7,1,Data Scientist
40,Other,Master’s,Arts,10,3,Yes,5,3,3,4,9,3,Engineering,Hybrid,Research Lab,Yes,8,0,No,11,6,Yes,9,Balanced,4,7,Lawyer
36,Female,Diploma,Business,10,9,No,7,6,9,9,6,10,Science,On-Site,Government,Yes,6,0,Yes,0,5,Yes,3,Individual,5,5,Doctor
36,Male,PhD,Medicine,10,8,No,6,10,1,1,9,10,Arts,On-Site,Startup,No,5,1,Yes,7,0,Yes,1,Balanced,10,6,Digital Marketer
35,Male,Master’s,Arts,10,6,No,7,2,8,1,8,2,Science,On-Site,Research Lab,Yes,4,3,Yes,18,7,Yes,8,Balanced,3,9,Mechanical Engineer
37,Other,Master’s,Sports,9,3,No,9,8,7,10,4,2,Technology,On-Site,Startup,No,3,3,Yes,10,0,No,2,Balanced,3,10,Data Scientist
33,Male,Bachelor's,Sports,10,10,No,3,7,7,7,7,4,Medicine,On-Site,Government,No,4,4,No,19,6,No,6,Balanced,9,10,Mechanical Engineer
25,Male,PhD,Science,9,8,No,5,2,8,3,3,8,Business,Hybrid,Startup,Yes,8,5,No,0,1,Yes,7,Individual,7,4,Doctor
45,Other,Diploma,Business,1,2,No,5,5,9,4,1,6,Sports,On-Site,Government,Yes,5,1,Yes,14,6,No,4,Teamwork,6,9,Research Scientist
18,Male,High School,Sports,6,4,No,3,4,8,1,4,3,Social Work,Remote,Freelance,Yes,1,0,Yes,17,2,Yes,4,Individual,1,2,Software Engineer
34,Other,Master’s,Science,10,4,Yes,10,2,6,2,4,4,Engineering,Remote,Startup,Yes,8,5,Yes,17,10,Yes,4,Teamwork,10,8,Lawyer
29,Other,Bachelor's,Business,6,9,No,9,4,1,5,5,3,Arts,On-Site,Startup,No,3,4,No,14,3,Yes,8,Balanced,5,10,Doctor
47,Male,High School,Arts,8,8,No,9,9,1,4,4,3,Science,Remote,Research Lab,Yes,1,0,Yes,7,5,No,4,Teamwork,6,7,Entrepreneur
38,Male,Master’s,Arts,7,7,No,6,10,7,3,9,9,Medicine,Remote,Freelance,No,3,2,No,11,4,Yes,3,Balanced,2,4,Data Scientist
28,Male,Bachelor's,Science,7,4,Yes,5,2,3,2,5,3,Science,On-Site,Startup,No,7,5,Yes,19,1,No,6,Teamwork,10,10,Doctor
22,Male,PhD,Arts,2,7,No,4,10,3,1,5,2,Business,Hybrid,Research Lab,Yes,10,2,No,8,1,No,7,Balanced,5,3,Mechanical Engineer
44,Male,Bachelor's,Science,4,1,Yes,4,10,9,1,8,2,Arts,Hybrid,Research Lab,No,8,0,No,6,0,Yes,4,Individual,7,6,Software Engineer
29,Female,Master’s,Engineering,1,8,No,5,6,10,1,7,8,Engineering,Hybrid,Government,No,9,2,Yes,19,2,No,8,Individual,1,2,Doctor
34,Male,PhD,Business,7,8,Yes,2,4,4,7,2,10,Business,On-Site,Research Lab,Yes,3,2,No,18,1,No,3,Individual,5,4,Doctor
23,Female,Diploma,Science,4,9,Yes,8,8,3,1,1,3,Engineering,Remote,Corporate,Yes,8,4,Yes,11,3,Yes,1,Balanced,7,3,Research Scientist
18,Other,Bachelor's,Business,9,9,No,7,4,2,2,1,10,Arts,Hybrid,Government,No,10,0,No,20,4,No,6,Individual,8,9,Mechanical Engineer
22,Male,High School,Engineering,6,1,No,7,9,5,2,1,10,Business,Remote,Government,No,5,4,Yes,5,3,No,2,Balanced,8,4,Digital Marketer
42,Male,PhD,Business,6,10,No,1,10,9,8,10,9,Arts,On-Site,Government,Yes,2,5,Yes,0,0,No,4,Individual,3,6,Artist
45,Male,PhD,Science,9,7,Yes,8,3,8,5,6,3,Sports,Hybrid,Freelance,Yes,9,1,Yes,12,1,Yes,1,Balanced,4,7,Doctor
31,Other,Diploma,Arts,8,1,Yes,1,7,8,4,5,10,Sports,Hybrid,Startup,Yes,5,2,Yes,7,2,Yes,3,Teamwork,6,2,Doctor
22,Female,Bachelor's,Business,6,6,No,9,5,1,3,9,2,Technology,Remote,Research Lab,No,6,0,No,12,6,No,6,Teamwork,5,5,Research Scientist
39,Female,High School,Business,6,5,Yes,6,1,9,8,6,8,Social Work,Remote,Research Lab,Yes,7,4,No,1,4,Yes,5,Teamwork,8,9,Software Engineer
41,Male,Diploma,Sports,6,2,No,8,3,8,10,10,6,Arts,Hybrid,Startup,No,1,5,Yes,10,1,Yes,3,Individual,2,7,Lawyer
44,Male,Bachelor's,Sports,4,3,Yes,1,9,3,6,10,4,Technology,Hybrid,Government,No,3,2,No,0,9,No,1,Teamwork,9,3,Business Analyst
